name,rating,age,gender,country
"Grynszpan,",2378,56,M,ARG
"Soppe,",2377,64,M,ARG
"Dolezal,",2370,51,M,ARG
Gomez,2369,65,M,ARG
"Langier,",2365,50,M,ARG
"Bertona,",2365,53,M,ARG
"Perdomo,",2364,39,M,ARG
"Perez,",2362,32,M,ARG
"Tempone,",2361,62,M,ARG
"Schwanek,",2357,63,M,ARG
"Campora,",2350,67,M,ARG
"Arias,",2344,28,M,ARG
"Fulgenzi,",2340,56,M,ARG
"Reides,",2332,56,M,ARG
"Belmonte,",2328,46,M,ARG
"Villegas,",2326,26,M,ARG
"Panelo,",2325,51,M,ARG
"Mahia,",2321,63,M,ARG
"Rodriguez,",2319,64,M,ARG
"Claverie,",2316,41,M,ARG
"Gomez,",2315,34,M,ARG
Moreno,2314,19,M,ARG
"Sorin,",2311,57,M,ARG
"Giaccio,",2307,54,M,ARG
"Cumpe,",2301,20,M,ARG
"Landriel,",2291,58,M,ARG
"Fernandez,",2291,65,M,ARG
"Tomeo,",2290,32,M,ARG
"Cejas,",2283,40,M,ARG
"Ibarra,",2281,20,M,ARG
"Wisniacki,",2278,53,M,ARG
"Fiorito,",2278,55,M,ARG
"Villarreal,",2277,20,M,ARG
"Mela,",2275,46,M,ARG
Zapata,2274,25,M,ARG
"Campos,",2272,25,M,ARG
"Scarella,",2269,52,M,ARG
Francisco,2267,18,M,ARG
"Bertorello,",2262,50,M,ARG
"Perez,",2262,26,M,ARG
"Miranda,",2261,32,M,ARG
"Lujan,",2259,39,M,ARG
"Ovejero,",2258,39,M,ARG
"Perelman,",2257,57,M,ARG
Martinez,2255,30,M,ARG
"Aguilar,",2255,39,M,ARG
"Pierrot,",2253,49,M,ARG
"Unhold,",2253,18,M,ARG
"Rodriguez,",2251,35,M,ARG
"Llanos,",2250,63,M,ARG
"Ocampos,",2249,29,M,ARG
"Silva,",2246,22,M,ARG
"Converset,",2246,47,M,ARG
"Asprelli,",2245,20,M,ARG
"Grushka,",2243,62,M,ARG
"Jacobo,",2241,43,M,ARG
"Justo,",2240,52,M,ARG
"Paris,",2239,14,M,ARG
"Fiora,",2239,28,M,ARG
Tomas,2238,25,M,ARG
"Devcic,",2237,65,M,ARG
Di,2235,33,M,ARG
"Mavrich,",2234,34,M,ARG
"Barrionuevo,",2227,41,M,ARG
De,2225,54,M,ARG
"Sanhueza,",2224,39,M,ARG
"Benedetti,",2221,29,M,ARG
"Robledo,",2221,25,M,ARG
"Needleman,",2218,59,M,ARG
"Ambrogi,",2217,37,M,ARG
"Campos,",2272,25,F,ARG
Francisco,2267,18,F,ARG
"Lujan,",2259,39,F,ARG
Borda,2205,20,F,ARG
"Scarsi,",2201,18,F,ARG
"Amura,",2183,54,F,ARG
"Zuriel,",2163,42,F,ARG
"Fernandez,",2160,33,F,ARG
"Sarquis,",2156,36,F,ARG
"Adam,",2154,15,F,ARG
"Martinez,",2120,31,F,ARG
"Brizzi,",2114,28,F,ARG
"Burijovich,",2048,59,F,ARG
"Meza,",2046,39,F,ARG
"Besso,",2007,26,F,ARG
"Gaite,",1997,17,F,ARG
Flores,1983,31,F,ARG
Tobares,1976,15,F,ARG
"Bosco,",1953,20,F,ARG
"Nejanky,",1928,39,F,ARG
"Benedetti,",1922,31,F,ARG
"Maggiolo,",1922,44,F,ARG
"Encina,",1919,24,F,ARG
"Semprevivo,",1911,34,F,ARG
"Mayeregger,",1899,21,F,ARG
Montiel,1880,16,F,ARG
"Herrera,",1880,29,F,ARG
"Parma,",1875,37,F,ARG
"Godoy,",1852,20,F,ARG
"Godoy,",1847,40,F,ARG
"Argento,",1836,29,F,ARG
"Bertorello,",1831,18,F,ARG
"Brito,",1830,19,F,ARG
"Duernhoefer,",1825,56,F,ARG
"Ramirez,",1824,31,F,ARG
"Capovilla,",1805,33,F,ARG
"Benitez,",1804,15,F,ARG
"Zarate,",1803,30,F,ARG
Alvarez,1792,33,F,ARG
"Juarez,",1791,30,F,ARG
"Veliz,",1789,15,F,ARG
"Izaguirre,",1789,16,F,ARG
"Sequeira,",1787,26,F,ARG
"Galeano,",1777,16,F,ARG
"Salto,",1771,18,F,ARG
"Tejedor,",1768,19,F,ARG
"Guzman,",1766,13,F,ARG
"Nunez,",1760,16,F,ARG
"Carnevale,",1756,14,F,ARG
"Alegre,",1749,30,F,ARG
"Donda,",1743,12,F,ARG
"Lempke,",1743,25,F,ARG
Pereira,1743,18,F,ARG
"Arias,",1734,51,F,ARG
"Casal,",1727,15,F,ARG
Jara,1723,16,F,ARG
"Fernandez,",1721,31,F,ARG
"Ventura,",1712,21,F,ARG
"Silva,",1711,32,F,ARG
Menduni,1694,17,F,ARG
"Bossero,",1694,62,F,ARG
"Schlund,",1694,18,F,ARG
"Castaneda,",1693,16,F,ARG
"Nunez,",1687,14,F,ARG
De,1681,16,F,ARG
"Herrera,",1680,14,F,ARG
"Ramirez,",1675,32,F,ARG
"Herrera,",1672,39,F,ARG
"Fernandez,",1671,15,F,ARG
"Larregain,",1669,31,F,ARG
"Portillo,",1667,16,F,ARG
"Stagnaro,",1663,24,F,ARG
"Munoz,",1656,10,F,ARG
"Alvarez,",1653,11,F,ARG
"Mastromarino,",1653,14,F,ARG
"Cardenas,",1645,10,F,ARG
De,1644,19,F,ARG
"Jimenez,",1641,15,F,ARG
Fernandez,1640,10,F,ARG
"Palomares,",1633,20,F,ARG
"Romero,",1632,15,F,ARG
"Ruiz,",1631,14,F,ARG
"Marquez,",1624,21,F,ARG
"Gimenez,",1606,17,F,ARG
"Recalde,",1605,15,F,ARG
"Ponce,",1602,35,F,ARG
"Insley,",1596,16,F,ARG
Perez,1593,44,F,ARG
"Romano,",1591,54,F,ARG
"Zuniga,",1590,17,F,ARG
"Lucci,",1585,17,F,ARG
"Ramirez,",1584,25,F,ARG
Suarez,1582,20,F,ARG
Rojo,1561,13,F,ARG
Ferrin,1560,14,F,ARG
Muruchi,1553,13,F,ARG
Sanita,1549,14,F,ARG
"Munoz,",1548,12,F,ARG
"Chavez,",1542,24,F,ARG
"Arias,",1541,11,F,ARG
"Martirosyan,",2676,24,M,ARM
"Sargsyan,",2655,22,M,ARM
"Sargissian,",2640,41,M,ARM
"Melkumyan,",2636,35,M,ARM
"Hakobyan,",2623,23,M,ARM
"Hovhannisyan,",2613,33,M,ARM
"Petrosyan,",2612,26,M,ARM
"Movsesian,",2609,46,M,ARM
"Ter-Sahakyan,",2608,31,M,ARM
"Grigoryan,",2603,29,M,ARM
"Andriasian,",2554,35,M,ARM
"Gabuzyan,",2553,29,M,ARM
"Harutyunyan,",2524,27,M,ARM
"Mikaelyan,",2508,28,M,ARM
"Ohanyan,",2504,18,M,ARM
"Gharibyan,",2462,20,M,ARM
"Davtyan,",2460,22,M,ARM
"Minasian,",2460,57,M,ARM
"Hayrapetyan,",2451,34,M,ARM
"Vaganian,",2449,73,M,ARM
"Movsziszian,",2439,61,M,ARM
"Shahinyan,",2439,30,M,ARM
"Petrosian,",2437,40,M,ARM
"Piliposyan,",2418,17,M,ARM
"Agasarov,",2410,15,M,ARM
"Hakobyan,",2409,18,M,ARM
"Pogosyan,",2407,20,M,ARM
"Simonian,",2404,33,M,ARM
"Davtyan,",2400,18,M,ARM
"Danielian,",2396,46,M,ARM
"Mkrtchian,",2388,42,M,ARM
"Yeghiazaryan,",2387,35,M,ARM
"Sahakyan,",2380,18,M,ARM
"Galdunts,",2378,59,M,ARM
"Gasparyan,",2371,17,M,ARM
"Sukiasyan,",2368,16,M,ARM
"Sargsyan,",2361,23,M,ARM
"Pashikyan,",2359,16,M,ARM
"Harutjunyan,",2350,43,M,ARM
"Hayrapetyan,",2350,33,M,ARM
"Barseghyan,",2348,21,M,ARM
"Hayrapetyan,",2333,45,M,ARM
"Babujian,",2330,38,M,ARM
"Chaqryan,",2325,19,M,ARM
"Mkrtchyan,",2325,20,M,ARM
"Sargsyan,",2321,20,M,ARM
"Petrosian,",2320,50,M,ARM
"Hovakimyan,",2319,15,M,ARM
"Rostomyan,",2319,18,M,ARM
"Zakarian,",2301,45,M,ARM
"Danielyan,",2299,27,M,ARM
"Davtyan,",2293,21,M,ARM
"Mkrtchyan,",2289,38,M,ARM
"Yeritsyan,",2276,26,M,ARM
"Aleksanyan,",2271,26,M,ARM
"Hovsepyan,",2269,30,M,ARM
"Sargissyan,",2267,34,M,ARM
"Alaverdyan,",2262,34,M,ARM
"Tiraturyan,",2259,33,M,ARM
"Manvelyan,",2258,17,M,ARM
"Khachatryan,",2251,47,M,ARM
"Nadanian,",2248,52,M,ARM
"Poghosyan,",2247,35,M,ARM
"Torosyan,",2244,14,M,ARM
"Yeremyan,",2240,21,M,ARM
"Baghdasaryan,",2233,31,M,ARM
"Gevorgyan,",2225,30,M,ARM
"Nalbandyan,",2223,22,M,ARM
"Karatorossian,",2217,55,M,ARM
"Manukyan,",2216,29,M,ARM
"Ghimoyan,",2192,17,M,ARM
"Dilanyan,",2191,31,M,ARM
"Gaboyan,",2187,28,M,ARM
"Manukyan,",2181,21,M,ARM
"Shahinyan,",2161,16,M,ARM
"Davtyan,",2159,15,M,ARM
"Melkonyan,",2158,19,M,ARM
"Alikhanyan,",2156,19,M,ARM
"Navoyan,",2156,15,M,ARM
"Khachatryan,",2151,21,M,ARM
"Hayrapetyan,",2149,17,M,ARM
"Tovmasyan,",2141,18,M,ARM
"Arakelyan,",2140,13,M,ARM
"Mkrtchyan,",2136,25,M,ARM
"Azaryan,",2134,29,M,ARM
"Atoyan,",2133,15,M,ARM
"Harutyunyan,",2124,13,M,ARM
"Grigoryan,",2124,19,M,ARM
"Ambartsumian,",2123,12,M,ARM
"Baghdasaryan,",2121,15,M,ARM
"Manukyan,",2121,25,M,ARM
"Khachatryan,",2118,22,M,ARM
"Andreasyan,",2112,16,M,ARM
"Santryan,",2112,22,M,ARM
"Kocharyan,",2108,43,M,ARM
"Hakobyan,",2104,23,M,ARM
"Manukian,",2104,46,M,ARM
"Melkonyan,",2099,44,M,ARM
"Ghazaryan,",2097,20,M,ARM
"Hakobyan,",2091,16,M,ARM
"Danielian,",2396,46,F,ARM
"Mkrtchian,",2388,42,F,ARM
"Sargsyan,",2361,23,F,ARM
"Mkrtchyan,",2325,20,F,ARM
"Gevorgyan,",2225,30,F,ARM
"Gaboyan,",2187,28,F,ARM
"Khachatryan,",2118,22,F,ARM
"Avetisyan,",2067,24,F,ARM
"Kobak,",2041,16,F,ARM
"Krkyasharyan,",2031,14,F,ARM
"Grigoryan,",2006,23,F,ARM
"Khachatryan,",1999,20,F,ARM
"Avetisyan,",1991,15,F,ARM
"Hakobyan,",1990,19,F,ARM
"Hayrapetyan,",1978,16,F,ARM
"Gasparyan,",1949,18,F,ARM
"Stepanyan,",1924,17,F,ARM
"Muradyan,",1922,17,F,ARM
"Nahapetyan,",1913,13,F,ARM
"Harutyunyan,",1896,18,F,ARM
"Gharibyan,",1840,24,F,ARM
"Arakelyan,",1829,16,F,ARM
"Badalyan,",1822,18,F,ARM
"Khachatryan,",1790,17,F,ARM
"Mkhitaryan,",1777,16,F,ARM
"Alvanjyan,",1774,16,F,ARM
"Dzhalalian,",1765,14,F,ARM
"Kasinyan,",1756,15,F,ARM
"Hakobova,",1730,16,F,ARM
"Harutyunyan,",1730,12,F,ARM
"Nadanyan,",1725,20,F,ARM
"Ambarjyan,",1723,24,F,ARM
"Militonyan,",1720,26,F,ARM
"Mkrtchyan,",1713,15,F,ARM
"Gevorgyan,",1708,14,F,ARM
"Gabrielyan,",1708,20,F,ARM
"Aslibekyan,",1681,16,F,ARM
"Askaryan,",1676,18,F,ARM
"Hovhannisyan,",1667,22,F,ARM
"Karapetyan,",1665,20,F,ARM
"Babayan,",1648,20,F,ARM
"Kocharyan,",1647,14,F,ARM
"Galstyan,",1644,15,F,ARM
"Sargsyan,",1643,20,F,ARM
"Poghosyan,",1634,12,F,ARM
"Kochinyan,",1630,19,F,ARM
"Hakobyan,",1628,11,F,ARM
"Poghosyan,",1622,17,F,ARM
"Mirakyan,",1621,11,F,ARM
"Danielyan,",1616,14,F,ARM
"Simonyan,",1614,23,F,ARM
"Gevorgyan,",1613,38,F,ARM
"Danielyan,",1590,13,F,ARM
"Tavakalyan,",1586,13,F,ARM
"Afiyan,",1583,12,F,ARM
"Hovakimyan,",1581,16,F,ARM
"Yeghoyan,",1577,16,F,ARM
"Barseghyan,",1563,15,F,ARM
"Haroyan,",1551,16,F,ARM
"Chilingaryan,",1546,9,F,ARM
"Minasyan,",1545,10,F,ARM
"Petrosyan,",1543,59,F,ARM
"Xing,",1542,11,F,ARM
"Isakhanyan,",1540,10,F,ARM
"Hakobyan,",1538,14,F,ARM
"Goginyan,",1537,17,F,ARM
"Hovhannisyan,",1537,14,F,ARM
"Voskanyan,",1535,13,F,ARM
"Sahakyan,",1530,27,F,ARM
"Shahinyan,",1518,17,F,ARM
"Diloyan,",1508,13,F,ARM
"Margaryan,",1508,16,F,ARM
"Keshishyan,",1506,14,F,ARM
"Simonyan,",1503,11,F,ARM
"Zhamkochyan,",1497,13,F,ARM
"Khojyan,",1497,15,F,ARM
"Andriasyan,",1496,13,F,ARM
"Manukyan,",1494,14,F,ARM
"Sharajyan,",1486,13,F,ARM
"Harutyunyan,",1481,12,F,ARM
"Karapetyan,",1476,14,F,ARM
"Nagdalyan,",1476,15,F,ARM
"Kandaryan,",1473,13,F,ARM
"Atoyan,",1472,11,F,ARM
"Kudryasheva,",1465,11,F,ARM
"Sayadyan,",1465,17,F,ARM
"Bondarenko,",1460,16,F,ARM
"Levonyan,",1459,14,F,ARM
"Baghramyan,",1455,8,F,ARM
"Aghajanyan,",1453,18,F,ARM
"Asatryan,",1440,11,F,ARM
"Avetisyan,",1428,11,F,ARM
"Khachikyan,",1424,12,F,ARM
"Sergoyan,",1404,13,F,ARM
"Alexanyan,",1403,18,F,ARM
"Antonyan,",0,13,F,ARM
"Antonyan,",0,13,F,ARM
"Gharagyozyan,",0,12,F,ARM
"Margaryan,",0,17,F,ARM
"Cheng,",2594,27,M,AUS
"Kuybokarov,",2550,24,M,AUS
"Smetankin,",2495,44,M,AUS
"Ly,",2469,33,M,AUS
"Smerdon,",2468,40,M,AUS
"Sardana,",2466,27,M,AUS
"Zhao,",2452,38,M,AUS
"Morris,",2431,30,M,AUS
"Bjelobrk,",2397,42,M,AUS
"McClymont,",2392,32,M,AUS
"Ikeda,",2384,33,M,AUS
"Chow,",2348,37,M,AUS
"Tao,",2343,47,M,AUS
"Xie,",2336,39,M,AUS
"Wohl,",2336,61,M,AUS
"Goldenberg,",2333,55,M,AUS
"Johansen,",2321,65,M,AUS
"Gong,",2299,25,M,AUS
"Kurniawan,",2285,48,M,AUS
"West,",2279,66,M,AUS
"Winkelman,",2278,21,M,AUS
"Lane,",2273,60,M,AUS
"Cannon,",2265,23,M,AUS
"Liu,",2261,27,M,AUS
"Stojic,",2251,35,M,AUS
"Ryjanova,",2245,50,M,AUS
"Solomon,",2244,61,M,AUS
"Wallis,",2244,34,M,AUS
"Soo,",2235,26,M,AUS
"Scott,",2214,43,M,AUS
"Chan,",2207,21,M,AUS
"Yadao,",2185,51,M,AUS
"Zhang,",2184,38,M,AUS
"Yang,",2182,39,M,AUS
"Asaka,",2176,22,M,AUS
"Nemeth,",2174,39,M,AUS
"Litchfield,",2173,27,M,AUS
"Rodgers,",2169,28,M,AUS
"Bayaca,",2169,22,M,AUS
"Drummond,",2164,59,M,AUS
"Canfell,",2161,54,M,AUS
"McGowan,",2160,21,M,AUS
"Maguire,",2153,25,M,AUS
"Dai,",2150,26,M,AUS
"Levi,",2147,72,M,AUS
"Chakrabarty,",2133,10,M,AUS
"Ferozkohi,",2133,36,M,AUS
"Teh,",2132,16,M,AUS
"Press,",2129,26,M,AUS
"Farrell,",2126,64,M,AUS
"Phan,",2125,30,M,AUS
"Annapureddy,",2122,10,M,AUS
"Kethro,",2122,25,M,AUS
"Tang,",2120,20,M,AUS
"Weeks,",2114,58,M,AUS
"Bourmistrov,",2111,38,M,AUS
"Ooi,",2110,14,M,AUS
"Testolin,",2108,19,M,AUS
"Zulfic,",2100,32,M,AUS
"Chan,",2090,22,M,AUS
"Cameron,",2089,29,M,AUS
"Nakauchi,",2088,29,M,AUS
"Feldman,",2084,65,M,AUS
"Jager,",2081,36,M,AUS
"Nguyen,",2079,14,M,AUS
"Leaver,",2070,31,M,AUS
"Zafirakos,",2069,19,M,AUS
"Li,",2069,14,M,AUS
"Rujevic,",2068,78,M,AUS
"Lo,",2067,27,M,AUS
"Hu,",2066,12,M,AUS
"Ilic,",2066,20,M,AUS
"Jordan,",2063,67,M,AUS
"Koh,",2061,26,M,AUS
"McNamara,",2061,39,M,AUS
"Jabur,",2056,59,M,AUS
"Watson,",2055,39,M,AUS
"Leong,",2054,16,M,AUS
"Melamed,",2052,20,M,AUS
"Nguyen,",2049,39,M,AUS
"Lee,",2046,31,M,AUS
"Nguyen,",2041,20,M,AUS
"Fu,",2041,17,M,AUS
"Hoffmann,",2041,62,M,AUS
"Boyd-Norman,",2040,17,M,AUS
"Dragicevic,",2038,42,M,AUS
"Prasad,",2038,27,M,AUS
"Rusakov,",2029,14,M,AUS
"Li,",2029,18,M,AUS
"Shen,",2028,25,M,AUS
"Skulte,",2026,39,M,AUS
"Jackson,",2024,65,M,AUS
"Naraharasetty,",2023,15,M,AUS
"Plant,",2023,36,M,AUS
"Nguyen,",2023,16,M,AUS
"Bassig,",2021,20,M,AUS
"Urban,",2020,38,M,AUS
"Broome,",2017,60,M,AUS
"Balavignan,",2013,13,M,AUS
"Ng,",2012,32,M,AUS
"Ryjanova,",2245,50,F,AUS
"Zhang,",2184,38,F,AUS
"Phan,",2125,30,F,AUS
"Nguyen,",2049,39,F,AUS
"Shen,",2028,25,F,AUS
"Vincent,",1984,18,F,AUS
"Fan,",1911,17,F,AUS
"Lim,",1908,20,F,AUS
"Quek,",1897,25,F,AUS
"Hu,",1896,19,F,AUS
"Morrison,",1889,17,F,AUS
"Lu,",1887,21,F,AUS
"Rozuwiecka,",1869,26,F,AUS
"Hardegen,",1868,41,F,AUS
"Gratchev,",1849,18,F,AUS
"Middleton,",1842,21,F,AUS
"Cheng,",1833,17,F,AUS
"Sayce,",1821,23,F,AUS
"Chibnall,",1812,33,F,AUS
"Wu,",1802,20,F,AUS
"Simmonds,",1795,28,F,AUS
"Liu,",1793,15,F,AUS
"Huey,",1787,15,F,AUS
"O'Carroll,",1781,17,F,AUS
"Gratchev,",1775,15,F,AUS
"Yang,",1774,23,F,AUS
"Qian,",1769,14,F,AUS
"Song,",1753,20,F,AUS
"Maunders,",1740,19,F,AUS
"Gui,",1725,24,F,AUS
"Dissanayake,",1716,12,F,AUS
"Feng,",1716,15,F,AUS
"Jain,",1709,19,F,AUS
"Retnaraja,",1708,16,F,AUS
"Li,",1697,18,F,AUS
"Katakam,",1695,13,F,AUS
"Szuveges,",1692,46,F,AUS
"He,",1688,18,F,AUS
"Ihalagedara,",1685,31,F,AUS
"Qiang,",1678,13,F,AUS
"Yin,",1670,18,F,AUS
"Zhou,",1670,13,F,AUS
"Cao,",1669,21,F,AUS
"Lin,",1668,17,F,AUS
"Jigando,",1666,17,F,AUS
"Qian,",1663,12,F,AUS
"Guan,",1661,13,F,AUS
"Pan,",1657,14,F,AUS
"Watson,",1657,56,F,AUS
"Chen,",1656,11,F,AUS
"Rupasinghe,",1656,13,F,AUS
"Chen,",1649,11,F,AUS
"Scammell,",1648,66,F,AUS
"Savery,",1645,18,F,AUS
"Chen,",1638,15,F,AUS
"Zeng,",1638,14,F,AUS
"Davis,",1636,20,F,AUS
"Wu,",1633,14,F,AUS
"Deng,",1628,12,F,AUS
"Miller,",1625,21,F,AUS
"Wu,",1618,14,F,AUS
"Kadi,",1617,31,F,AUS
"Karthik,",1614,17,F,AUS
"Pan,",1610,16,F,AUS
"Li,",1594,26,F,AUS
"Liyanage,",1590,13,F,AUS
"Bradbery,",1587,17,F,AUS
"Woon,",1583,12,F,AUS
"Song,",1582,12,F,AUS
"Fais,",1582,12,F,AUS
"Norman,",1574,9,F,AUS
"Zhang,",1542,13,F,AUS
"Williams,",1540,12,F,AUS
